,Dimensions after PCA reduction,FP-size,Sparsity
0,38,1024,699
1,38,1448,1100
2,38,2048,1685
3,38,2896,2520
4,38,4096,3715
5,38,5793,5401
6,38,8192,7799
7,38,11585,11186
8,38,16384,15983
9,38,23170,22767
10,38,32768,32365
11,38,46341,45935
12,38,65536,65130
13,38,92682,92276
14,38,131072,130666
15,38,185364,184957
