,Dimensions after PCA reduction,Null-columns,Number of bits in atom-pair fingerprint
0,1,0,2
1,1,0,3
2,2,0,4
3,2,0,5
4,3,0,6
5,3,0,7
6,3,0,8
7,4,0,9
8,4,0,10
9,4,0,11
10,4,0,12
11,5,0,13
12,5,0,14
13,5,0,15
14,4,0,16
15,6,0,17
16,5,0,18
17,6,0,19
18,5,0,20
19,6,0,21
20,6,0,22
21,6,0,23
22,6,0,24
23,6,0,25
24,6,0,26
25,7,0,27
26,6,0,28
27,6,0,29
28,6,0,30
29,7,0,31
30,5,0,32
31,7,0,33
32,7,0,34
33,7,0,35
34,7,0,36
35,7,0,37
36,7,0,38
37,8,0,39
38,7,0,40
39,7,0,41
40,7,0,42
41,7,0,43
42,8,0,44
43,8,0,45
44,7,0,46
45,8,0,47
46,7,0,48
47,8,0,49
48,8,0,50
49,8,0,51
50,8,0,52
51,8,0,53
52,8,0,54
53,8,0,55
54,8,0,56
55,8,0,57
56,8,0,58
57,8,0,59
58,8,0,60
59,8,0,61
60,8,0,62
61,8,0,63
62,7,0,64
63,8,0,65
64,9,0,66
65,8,0,67
66,9,0,68
67,8,0,69
68,8,0,70
69,8,0,71
70,8,0,72
71,8,0,73
72,9,0,74
73,9,0,75
74,9,0,76
75,8,1,77
76,9,0,78
77,9,0,79
78,8,1,80
79,9,1,81
80,8,0,82
81,8,0,83
82,8,0,84
83,9,0,85
84,8,0,86
85,8,0,87
86,8,2,88
87,9,1,89
88,9,1,90
89,9,0,91
90,8,0,92
91,9,1,93
92,8,2,94
93,8,0,95
94,8,1,96
95,9,0,97
96,8,1,98
97,9,0,99
98,9,1,100
99,9,2,101
100,9,0,102
101,9,1,103
102,8,1,104
103,8,0,105
104,9,0,106
105,8,1,107
106,9,1,108
107,9,2,109
108,9,1,110
109,8,2,111
110,8,3,112
111,8,0,113
112,9,0,114
113,9,2,115
114,9,1,116
115,9,1,117
116,8,2,118
117,9,2,119
118,8,1,120
119,9,4,121
120,9,2,122
121,9,4,123
122,9,1,124
123,8,0,125
124,8,2,126
125,9,3,127
126,8,5,128
127,8,6,129
128,8,5,130
129,9,1,131
130,9,1,132
131,8,2,133
132,9,4,134
133,9,2,135
134,9,2,136
135,9,4,137
136,9,0,138
137,9,6,139
138,9,5,140
139,9,5,141
140,8,4,142
141,9,5,143
142,9,3,144
143,9,10,145
144,9,8,146
145,9,5,147
146,9,6,148
147,9,8,149
148,9,4,150
149,9,6,151
150,9,4,152
151,9,9,153
152,8,7,154
153,9,10,155
154,9,2,156
155,9,10,157
156,9,7,158
157,9,10,159
158,8,14,160
159,9,11,161
160,9,11,162
161,9,9,163
162,9,11,164
163,9,10,165
164,9,6,166
165,9,10,167
166,9,10,168
167,9,6,169
168,9,4,170
169,9,9,171
170,9,9,172
171,9,15,173
172,9,11,174
173,9,9,175
174,9,20,176
175,9,11,177
176,9,10,178
177,9,12,179
178,9,13,180
179,9,14,181
180,9,10,182
181,9,15,183
182,9,13,184
183,9,10,185
184,9,17,186
185,9,15,187
186,9,17,188
187,9,10,189
188,9,10,190
189,9,16,191
190,9,25,192
191,9,23,193
192,9,22,194
193,9,21,195
194,9,27,196
195,9,21,197
196,9,18,198
197,9,17,199
198,9,13,200
199,9,22,201
200,9,25,202
201,9,18,203
202,9,15,204
203,9,22,205
204,9,17,206
205,9,19,207
206,9,25,208
207,9,14,209
208,9,25,210
209,9,28,211
210,9,25,212
211,9,25,213
212,9,19,214
213,9,19,215
214,9,25,216
215,9,19,217
216,9,25,218
217,9,16,219
218,9,27,220
219,9,27,221
220,9,25,222
221,9,28,223
222,9,31,224
223,9,31,225
224,9,26,226
225,9,27,227
226,9,27,228
227,9,25,229
228,9,26,230
229,9,30,231
230,9,29,232
231,9,21,233
232,9,28,234
233,9,32,235
234,9,22,236
235,9,31,237
236,9,39,238
237,9,32,239
238,9,31,240
239,9,31,241
240,9,37,242
241,9,35,243
242,9,36,244
243,9,40,245
244,9,29,246
245,9,42,247
246,9,37,248
247,9,35,249
248,9,36,250
249,9,40,251
250,9,28,252
251,9,33,253
252,9,39,254
253,9,49,255
254,9,39,256
255,9,41,257
256,9,46,258
257,9,41,259
258,9,39,260
259,9,31,261
260,9,42,262
261,9,41,263
262,9,43,264
263,9,43,265
264,9,35,266
265,9,42,267
266,9,43,268
267,9,40,269
268,9,41,270
269,9,52,271
270,9,37,272
271,9,48,273
272,9,40,274
273,9,43,275
274,9,34,276
275,9,50,277
276,9,56,278
277,9,54,279
278,9,55,280
279,9,50,281
280,9,53,282
281,9,52,283
282,9,55,284
283,9,44,285
284,9,50,286
285,9,59,287
286,9,61,288
287,9,51,289
288,9,60,290
289,9,62,291
290,9,62,292
291,9,50,293
292,9,55,294
293,9,51,295
294,9,59,296
295,9,61,297
296,9,58,298
297,9,63,299
298,9,54,300
299,9,69,301
300,9,67,302
301,9,67,303
302,9,59,304
303,9,72,305
304,9,58,306
305,9,64,307
306,9,59,308
307,9,69,309
308,9,72,310
309,9,76,311
