,Dimensions after PCA reduction,Null-columns,Number of bits in atom-pair fingerprint
310,9,63,312
311,9,64,313
312,9,70,314
313,9,72,315
314,9,83,316
315,9,67,317
316,9,65,318
317,9,76,319
318,9,82,320
319,9,75,321
320,9,73,322
321,9,74,323
322,9,81,324
323,9,77,325
324,9,77,326
325,9,76,327
326,9,83,328
327,9,71,329
328,9,83,330
329,9,70,331
330,9,83,332
331,9,85,333
332,9,79,334
333,9,88,335
334,9,86,336
335,9,74,337
336,9,77,338
337,9,79,339
338,9,69,340
339,9,85,341
340,9,75,342
341,9,82,343
342,9,85,344
343,9,79,345
344,9,93,346
345,9,91,347
346,9,81,348
347,9,91,349
348,9,94,350
349,9,89,351
350,9,98,352
351,9,82,353
352,9,88,354
353,9,99,355
354,9,85,356
355,9,92,357
356,9,90,358
357,9,100,359
358,9,99,360
359,9,96,361
360,9,96,362
361,9,101,363
362,9,89,364
363,9,101,365
364,9,96,366
365,9,99,367
366,9,107,368
367,9,93,369
368,9,103,370
369,9,109,371
370,9,108,372
371,9,111,373
372,9,106,374
373,9,101,375
374,9,114,376
375,9,108,377
376,9,88,378
377,9,115,379
378,9,106,380
379,9,119,381
380,9,124,382
381,9,112,383
382,9,116,384
383,9,107,385
384,9,126,386
385,9,119,387
386,9,124,388
387,9,116,389
388,9,128,390
389,9,111,391
390,9,122,392
391,9,122,393
392,9,123,394
393,9,111,395
394,9,123,396
395,9,122,397
396,9,126,398
397,9,117,399
398,9,112,400
399,9,121,401
400,9,125,402
401,9,125,403
402,9,124,404
403,9,114,405
404,9,135,406
405,9,127,407
406,9,122,408
407,9,128,409
408,9,131,410
409,9,119,411
410,9,127,412
411,9,125,413
412,9,121,414
413,9,126,415
414,9,139,416
415,9,145,417
416,9,129,418
417,9,143,419
418,9,144,420
419,9,145,421
420,9,145,422
421,9,136,423
422,9,138,424
423,9,133,425
424,9,139,426
425,9,144,427
426,9,139,428
427,9,138,429
428,9,136,430
429,9,146,431
430,9,142,432
431,9,144,433
432,9,135,434
433,9,146,435
434,9,148,436
435,9,141,437
436,9,139,438
437,9,150,439
438,9,153,440
439,9,133,441
440,9,148,442
441,9,152,443
442,9,152,444
443,9,146,445
444,9,162,446
445,9,163,447
446,9,167,448
447,9,159,449
448,9,153,450
449,9,154,451
450,9,148,452
451,9,162,453
452,9,157,454
453,9,157,455
454,9,163,456
455,9,162,457
456,9,162,458
457,9,168,459
458,9,161,460
459,9,176,461
460,9,160,462
461,9,167,463
462,9,164,464
463,9,165,465
464,9,164,466
465,9,166,467
466,9,163,468
467,9,162,469
468,9,171,470
469,9,175,471
470,9,160,472
471,9,177,473
472,9,181,474
473,9,154,475
474,9,182,476
475,9,168,477
476,9,180,478
477,9,190,479
478,9,194,480
479,9,171,481
480,9,174,482
481,9,172,483
482,9,173,484
483,9,181,485
484,9,188,486
485,9,191,487
486,9,187,488
487,9,177,489
488,9,192,490
489,9,188,491
490,9,168,492
491,9,190,493
492,9,193,494
493,9,206,495
494,9,195,496
495,9,180,497
496,9,183,498
497,9,192,499
