,Dimensions after PCA reduction,Null-columns,Number of bits in atom-pair fingerprint
0,1,0,2
1,2,0,3
2,1,0,4
3,1,0,5
4,2,0,6
5,1,0,7
6,1,0,8
7,2,0,9
8,1,0,10
9,2,0,11
10,2,0,12
11,2,0,13
12,2,0,14
13,3,0,15
14,2,2,16
15,2,0,17
16,2,0,18
17,2,0,19
18,2,1,20
19,2,1,21
20,2,0,22
21,2,1,23
22,2,1,24
23,3,0,25
24,2,1,26
25,2,0,27
26,2,1,28
27,2,0,29
28,2,0,30
29,2,1,31
30,2,4,32
31,2,2,33
32,2,1,34
33,2,1,35
34,2,0,36
35,2,1,37
36,2,1,38
37,2,2,39
38,2,1,40
39,2,4,41
40,2,5,42
41,2,2,43
42,2,4,44
43,2,2,45
44,2,4,46
45,2,3,47
46,2,7,48
47,2,4,49
48,2,5,50
49,3,5,51
50,2,7,52
51,2,4,53
52,2,5,54
53,2,9,55
54,2,7,56
55,2,10,57
56,2,5,58
57,3,8,59
58,2,7,60
59,2,9,61
60,2,8,62
61,2,14,63
62,2,12,64
63,2,17,65
64,2,12,66
65,2,10,67
66,2,7,68
67,2,10,69
68,2,9,70
69,2,11,71
70,2,11,72
71,2,14,73
72,2,15,74
73,2,17,75
74,2,15,76
75,2,22,77
76,2,16,78
77,2,18,79
78,2,16,80
79,2,17,81
80,2,16,82
81,2,17,83
82,2,22,84
83,2,16,85
84,2,13,86
85,2,18,87
86,2,21,88
87,3,21,89
88,2,23,90
89,2,26,91
90,2,17,92
91,2,25,93
92,2,23,94
93,2,28,95
94,2,31,96
95,2,29,97
96,3,29,98
97,2,31,99
98,2,30,100
99,3,29,101
100,2,32,102
101,2,24,103
102,2,25,104
103,2,27,105
104,2,39,106
105,2,29,107
106,2,31,108
107,2,33,109
108,2,37,110
109,2,36,111
110,2,33,112
111,2,33,113
112,2,37,114
113,3,40,115
114,2,27,116
115,2,40,117
116,2,45,118
117,2,38,119
118,2,40,120
119,2,38,121
120,2,43,122
121,2,44,123
122,2,42,124
123,2,43,125
124,2,48,126
125,2,37,127
126,2,52,128
127,2,52,129
128,2,59,130
129,2,49,131
130,2,56,132
131,2,53,133
132,2,49,134
133,2,54,135
134,2,51,136
135,2,58,137
136,2,46,138
137,2,53,139
138,2,49,140
139,2,54,141
140,2,65,142
141,2,58,143
142,2,55,144
143,2,58,145
144,2,66,146
145,2,55,147
146,2,54,148
147,2,59,149
148,2,67,150
149,2,60,151
150,2,63,152
151,3,69,153
152,2,70,154
153,2,64,155
154,2,66,156
155,2,63,157
156,2,69,158
157,2,73,159
158,2,72,160
159,2,66,161
160,2,76,162
161,2,74,163
162,2,71,164
163,2,78,165
164,2,80,166
165,2,74,167
166,2,75,168
167,2,72,169
168,2,79,170
169,2,75,171
170,2,71,172
171,2,85,173
172,2,82,174
173,2,82,175
174,2,82,176
175,2,85,177
176,2,81,178
177,2,83,179
178,2,91,180
179,2,88,181
180,2,90,182
181,2,81,183
182,3,88,184
183,2,84,185
184,2,94,186
185,2,98,187
186,2,95,188
187,2,99,189
188,2,95,190
189,2,93,191
190,2,95,192
191,2,102,193
192,2,101,194
193,2,97,195
194,2,102,196
195,2,102,197
196,2,98,198
197,2,102,199
198,2,102,200
199,2,106,201
200,2,108,202
201,2,108,203
202,2,109,204
203,2,114,205
204,2,109,206
205,2,110,207
206,2,109,208
207,2,114,209
208,2,110,210
209,2,117,211
210,2,115,212
211,2,108,213
212,2,110,214
213,2,119,215
214,2,114,216
215,2,108,217
216,2,123,218
217,2,128,219
218,2,123,220
219,2,115,221
220,2,125,222
221,2,116,223
