,Dimensions after PCA reduction,Null-columns,Number of bits in atom-pair fingerprint
222,2,119,224
223,2,127,225
224,2,126,226
225,2,129,227
226,2,122,228
227,2,136,229
228,2,129,230
229,2,133,231
230,2,123,232
231,2,124,233
232,2,129,234
233,2,133,235
234,2,139,236
235,2,130,237
236,2,134,238
237,2,138,239
238,2,143,240
239,2,140,241
240,2,136,242
241,2,144,243
242,2,145,244
243,2,144,245
244,2,139,246
245,2,143,247
246,2,144,248
247,2,148,249
248,2,145,250
249,2,147,251
250,2,142,252
251,2,158,253
252,2,150,254
253,2,152,255
254,2,160,256
255,2,151,257
256,2,149,258
257,2,160,259
258,2,154,260
259,2,156,261
260,2,152,262
261,2,152,263
262,2,161,264
263,2,164,265
264,2,166,266
265,2,154,267
266,2,168,268
267,2,159,269
268,2,164,270
269,2,174,271
270,2,170,272
271,2,172,273
272,2,171,274
273,2,172,275
274,2,161,276
275,2,173,277
276,2,171,278
277,2,169,279
278,2,171,280
279,2,180,281
280,2,174,282
281,2,183,283
282,2,185,284
283,2,181,285
284,2,189,286
285,2,182,287
286,2,173,288
287,2,174,289
288,2,180,290
289,2,188,291
290,2,186,292
291,2,189,293
292,2,189,294
293,2,192,295
294,2,184,296
295,2,191,297
296,2,185,298
297,2,195,299
298,2,195,300
299,2,195,301
300,2,194,302
301,2,196,303
302,2,196,304
303,2,194,305
304,2,206,306
305,2,199,307
306,2,200,308
307,2,201,309
308,2,199,310
309,2,199,311
310,2,201,312
311,2,207,313
312,2,205,314
313,2,206,315
314,2,207,316
315,2,209,317
316,2,219,318
317,2,210,319
318,2,209,320
319,2,213,321
320,2,210,322
321,2,224,323
322,2,217,324
323,2,221,325
324,2,216,326
325,2,213,327
326,2,211,328
327,2,221,329
328,2,227,330
329,2,227,331
330,2,225,332
331,2,228,333
332,2,230,334
333,2,224,335
334,2,220,336
335,2,220,337
336,2,227,338
337,2,221,339
338,2,232,340
339,2,227,341
340,2,226,342
341,2,234,343
342,2,227,344
343,2,236,345
344,2,235,346
345,2,234,347
346,2,236,348
347,3,239,349
348,2,237,350
349,2,238,351
350,2,244,352
351,2,241,353
352,2,240,354
353,2,250,355
354,2,235,356
355,2,244,357
356,2,243,358
357,2,249,359
358,2,253,360
359,2,243,361
360,2,252,362
361,2,257,363
362,2,256,364
363,2,251,365
364,2,248,366
365,2,262,367
366,2,253,368
367,2,254,369
368,2,251,370
369,2,257,371
370,2,261,372
371,2,258,373
372,2,264,374
373,2,265,375
374,2,259,376
375,2,271,377
376,2,267,378
377,2,262,379
378,2,270,380
379,2,271,381
380,2,269,382
381,2,280,383
382,2,273,384
383,2,268,385
384,3,280,386
385,2,278,387
386,2,271,388
387,2,273,389
388,2,273,390
389,2,276,391
390,2,276,392
391,2,277,393
392,2,279,394
393,2,281,395
394,2,281,396
395,2,275,397
396,2,289,398
397,2,293,399
398,2,287,400
399,2,280,401
400,2,289,402
401,2,283,403
402,2,290,404
403,2,289,405
404,2,292,406
405,2,292,407
406,2,300,408
407,2,295,409
408,2,300,410
409,2,294,411
410,2,298,412
411,2,297,413
412,2,300,414
413,2,305,415
414,2,297,416
415,2,298,417
416,2,307,418
417,2,303,419
418,2,300,420
419,2,308,421
420,2,308,422
421,2,308,423
422,2,307,424
423,2,303,425
424,2,316,426
425,2,302,427
426,2,307,428
427,2,322,429
428,2,318,430
429,2,318,431
430,2,313,432
431,2,323,433
432,2,312,434
433,2,317,435
434,2,326,436
435,2,320,437
436,2,332,438
437,2,324,439
438,2,321,440
439,2,322,441
440,2,320,442
441,2,323,443
442,2,330,444
443,2,334,445
444,2,323,446
445,2,331,447
446,2,334,448
447,2,336,449
448,2,341,450
449,2,338,451
450,2,337,452
451,2,337,453
452,2,344,454
453,2,336,455
454,2,336,456
455,2,340,457
456,2,344,458
457,2,340,459
458,2,346,460
459,2,351,461
460,2,350,462
461,2,343,463
462,2,348,464
463,2,347,465
464,2,342,466
465,2,353,467
466,2,347,468
467,2,352,469
468,2,348,470
469,2,352,471
470,2,356,472
471,2,351,473
472,2,353,474
473,2,364,475
474,2,358,476
475,2,368,477
476,2,365,478
477,2,359,479
478,2,359,480
479,2,362,481
480,2,364,482
481,2,361,483
482,2,366,484
483,2,372,485
484,2,369,486
485,2,374,487
486,2,371,488
487,2,372,489
488,2,375,490
489,3,367,491
490,2,369,492
491,2,374,493
492,2,376,494
493,2,376,495
494,2,378,496
495,2,378,497
496,2,382,498
497,2,385,499
